Subject,Treatment,Sex,Gonad,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv
 E20-09F,T,F,PRE,Colin,259071,161996,3372,208694,18431,249782,408,16124,0,0,0,144398,0,0,45967,492720,181164,17873,0,131,76,1,148,5,44,1,0,3,0,0,0,0,77,0,0,18,194,17,23
 E2-01,C,M,PRE,Colin,0,21880,0,87774,203235,94401,39152,116279,527941,561662,147676,0,0,0,0,0,0,0,0,0,14,0,10,13,7,26,2,33,157,49,89,56,0,0,0,0,0,0,0
 E2-03,C,F,PRE,Colin,99563,318322,9457,367652,2675,426533,0,35176,0,0,0,208451,0,0,56162,273611,0,2398,0,41,63,2,178,1,52,0,2,5,0,0,0,0,111,0,0,11,85,0,2
 E2-04,C,M,PRE,Colin,115710,67577,0,284985,157896,501570,7508,104680,77167,17666,142415,61309,0,0,11965,242144,7408,0,10,55,51,0,118,49,70,6,1,23,46,24,7,20,40,0,0,3,84,1,0
 E21-02F,C,F,PRE,Colin,110555,141902,0,236394,3176,230634,0,37612,856,0,0,189756,0,0,199416,340040,295927,13732,1,44,51,0,166,1,45,0,0,2,0,1,0,0,93,0,0,18,103,26,12
 E21-03M,C,M,PRE,Colin,110119,161933,0,178621,7871,270132,0,57272,0,0,0,169607,0,0,77480,176517,580007,10441,2,49,39,0,109,2,18,0,0,2,0,0,0,0,63,0,0,12,65,15,11
 E21-05F,C,F,PRE,Colin,110610,294272,0,221818,40910,479117,0,126426,530,0,0,111834,0,0,86098,239270,82191,6924,1,49,63,0,126,15,38,0,0,12,0,1,0,0,57,0,0,21,87,12,8
 E21-07M,C,M,PRE,Colin,171998,177634,0,255900,0,595832,0,66119,0,0,0,228497,0,0,138912,155821,1231,8056,4,66,43,0,178,0,72,0,0,6,0,0,0,0,92,0,0,25,75,1,13
 E21-08F,C,F,PRE,Colin,159255,261379,0,220897,3572,191961,731,86218,0,0,7362,290577,0,0,161511,315373,96810,4354,0,89,84,0,199,4,31,1,0,14,2,0,0,6,162,0,0,32,158,12,8
 E21-09M,C,M,PRE,Colin,277887,128191,0,334053,3761,311753,537,0,1912,0,0,288362,0,0,78939,212774,154908,6923,1,84,57,0,257,2,80,1,0,0,0,1,0,0,154,0,0,13,125,5,10
 E22-02F,T,F,PRE,Colin,116574,258201,0,352036,1407,413458,1564,37132,0,0,0,135654,0,0,21106,445403,0,17465,0,73,74,0,186,2,52,2,0,5,1,0,0,0,69,0,0,2,161,0,16
 E22-03M,T,M,PRE,Colin,236707,233855,0,262134,0,137581,2625,75725,0,0,4183,224725,0,0,227955,286441,101498,6571,1,98,42,0,199,0,24,1,0,7,0,0,0,4,136,0,0,8,115,7,13
 E22-06M,T,M,PRE,Colin,154861,222909,0,290905,4655,359069,0,15667,486,0,2532,238174,0,0,153326,320298,25551,11567,0,79,76,0,229,1,39,0,9,4,0,1,0,2,162,0,0,50,164,3,11
 E22-07M,T,M,PRE,Colin,193708,145925,0,230875,0,204969,0,22912,0,0,26514,378612,0,0,340578,199390,48192,8325,0,71,46,0,198,0,26,0,4,8,1,0,0,9,156,0,0,60,117,2,14
 E22-14F,T,F,PRE,Colin,156860,130230,0,333385,2449,406315,0,117556,0,0,0,211014,0,0,18532,263482,154722,5455,0,62,50,0,193,1,61,0,0,13,0,0,0,0,105,0,0,5,97,12,10
 E24-06M,T,M,PRE,Colin,33892,105589,0,126449,5094,536230,7269,185427,20518,0,48011,104915,0,0,49389,211677,360903,4637,0,19,46,0,78,3,40,5,3,21,23,4,0,11,49,0,0,16,70,37,3
 E24-07M,T,M,PRE,Colin,11689,167022,0,149139,394180,810117,0,0,0,79517,12787,65496,0,0,2559,74363,31081,1581,1,9,23,0,64,18,27,0,5,0,1,0,10,5,23,0,0,2,25,4,1
 E24-10F,T,F,PRE,Colin,146967,66319,4682,284003,1000,678389,0,47167,887,0,345,303421,0,297,1399,224777,23654,16693,0,66,38,3,183,1,82,0,0,4,1,1,0,1,117,0,1,1,98,3,22
